Date,Pays,Capitale,Population
2026-01-15 00:14,Cameroon,Yaoundé,19294149
2026-01-15 00:14,China,Beijing,1330044000
2026-01-15 00:14,Colombia,Bogotá,47790000
2026-01-15 00:14,Costa Rica,San José,4516220
2026-01-15 00:14,Cuba,Havana,11423000
2026-01-15 00:14,Cape Verde,Praia,508659
2026-01-15 00:14,Curacao,Willemstad,141766
2026-01-15 00:14,Christmas Island,Flying Fish Cove,1500
2026-01-15 00:14,Cyprus,Nicosia,1102677
2026-01-15 00:14,Czech Republic,Prague,10476000
2026-01-15 00:14,Germany,Berlin,81802257
2026-01-15 00:14,Djibouti,Djibouti,740528
2026-01-15 00:14,Denmark,Copenhagen,5484000
2026-01-15 00:14,Dominica,Roseau,72813
2026-01-15 00:14,Dominican Republic,Santo Domingo,9823821
2026-01-15 00:14,Algeria,Algiers,34586184
2026-01-15 00:14,Ecuador,Quito,14790608
2026-01-15 00:14,Estonia,Tallinn,1291170
2026-01-15 00:14,Egypt,Cairo,80471869
2026-01-15 00:14,Western Sahara,Laâyoune / El Aaiún,273008
2026-01-15 00:14,Eritrea,Asmara,5792984
2026-01-15 00:14,Spain,Madrid,46505963
2026-01-15 00:14,Ethiopia,Addis Ababa,88013491
2026-01-15 00:14,Finland,Helsinki,5244000
2026-01-15 00:14,Fiji,Suva,875983
2026-01-15 00:14,Falkland Islands,Stanley,2638
2026-01-15 00:14,Micronesia,Palikir,107708
2026-01-15 00:14,Faroe Islands,Tórshavn,48228
2026-01-15 00:14,France,Paris,64768389
2026-01-15 00:14,Gabon,Libreville,1545255
2026-01-15 00:14,United Kingdom,London,62348447
2026-01-15 00:14,Grenada,St. George's,107818
2026-01-15 00:14,Georgia,Tbilisi,4630000
2026-01-15 00:14,French Guiana,Cayenne,195506
2026-01-15 00:14,Guernsey,St Peter Port,65228
2026-01-15 00:14,Ghana,Accra,24339838
2026-01-15 00:14,Gibraltar,Gibraltar,27884
2026-01-15 00:14,Greenland,Nuuk,56375
2026-01-15 00:14,Gambia,Bathurst,1593256
2026-01-15 00:14,Guinea,Conakry,10324025
2026-01-15 00:14,Guadeloupe,Basse-Terre,443000
2026-01-15 00:14,Equatorial Guinea,Malabo,1014999
2026-01-15 00:14,Greece,Athens,11000000
2026-01-15 00:14,South Georgia and the South Sandwich Islands,Grytviken,30
2026-01-15 00:14,Guatemala,Guatemala City,13550440
2026-01-15 00:14,Guam,Hagåtña,159358
2026-01-15 00:14,Guinea-Bissau,Bissau,1565126
2026-01-15 00:14,Guyana,Georgetown,748486
2026-01-15 00:14,Hong Kong,Hong Kong,6898686
2026-01-15 00:14,Heard Island and McDonald Islands,None,0
2026-01-15 00:14,Honduras,Tegucigalpa,7989415
2026-01-15 00:14,Croatia,Zagreb,4491000
2026-01-15 00:14,Haiti,Port-au-Prince,9648924
2026-01-15 00:14,Hungary,Budapest,9982000
2026-01-15 00:14,Indonesia,Jakarta,242968342
2026-01-15 00:14,Ireland,Dublin,4622917
2026-01-15 00:14,Israel,None,7353985
2026-01-15 00:14,Isle of Man,Douglas,75049
2026-01-15 00:14,India,New Delhi,1173108018
2026-01-15 00:14,British Indian Ocean Territory,None,4000
2026-01-15 00:14,Iraq,Baghdad,29671605
2026-01-15 00:14,Iran,Tehran,76923300
2026-01-15 00:14,Iceland,Reykjavik,308910
2026-01-15 00:14,Italy,Rome,60340328
2026-01-15 00:14,Jersey,Saint Helier,90812
2026-01-15 00:14,Jamaica,Kingston,2847232
2026-01-15 00:14,Jordan,Amman,6407085
2026-01-15 00:14,Japan,Tokyo,127288000
2026-01-15 00:14,Kenya,Nairobi,40046566
2026-01-15 00:14,Kyrgyzstan,Bishkek,5776500
2026-01-15 00:14,Cambodia,Phnom Penh,14453680
2026-01-15 00:14,Kiribati,Tarawa,92533
2026-01-15 00:14,Comoros,Moroni,773407
2026-01-15 00:14,Saint Kitts and Nevis,Basseterre,51134
2026-01-15 00:14,North Korea,Pyongyang,22912177
2026-01-15 00:14,South Korea,Seoul,48422644
2026-01-15 00:14,Kuwait,Kuwait City,2789132
2026-01-15 00:14,Cayman Islands,George Town,44270
2026-01-15 00:14,Kazakhstan,Astana,15340000
2026-01-15 00:14,Laos,Vientiane,6368162
2026-01-15 00:14,Lebanon,Beirut,4125247
2026-01-15 00:14,Saint Lucia,Castries,160922
2026-01-15 00:14,Liechtenstein,Vaduz,35000
2026-01-15 00:14,Sri Lanka,Colombo,21513990
2026-01-15 00:14,Liberia,Monrovia,3685076
2026-01-15 00:14,Lesotho,Maseru,1919552
2026-01-15 00:14,Lithuania,Vilnius,2944459
2026-01-15 00:14,Luxembourg,Luxembourg,497538
2026-01-15 00:14,Latvia,Riga,2217969
2026-01-15 00:14,Libya,Tripoli,6461454
2026-01-15 00:14,Morocco,Rabat,31627428
2026-01-15 00:14,Monaco,Monaco,32965
2026-01-15 00:14,Moldova,Chişinău,4324000
2026-01-15 00:14,Montenegro,Podgorica,666730
2026-01-15 00:14,Saint Martin,Marigot,35925
2026-01-15 00:14,Madagascar,Antananarivo,21281844
2026-01-15 00:14,Marshall Islands,Majuro,65859
2026-01-15 00:14,Macedonia,Skopje,2062294
2026-01-15 00:14,Mali,Bamako,13796354
2026-01-15 00:14,Myanmar [Burma],Naypyitaw,53414374
2026-01-15 00:14,Mongolia,Ulan Bator,3086918
2026-01-15 00:14,Macao,Macao,449198
2026-01-15 00:14,Northern Mariana Islands,Saipan,53883
2026-01-15 00:14,Martinique,Fort-de-France,432900
2026-01-15 00:14,Mauritania,Nouakchott,3205060
2026-01-15 00:14,Montserrat,Plymouth,9341
2026-01-15 00:14,Malta,Valletta,403000
2026-01-15 00:14,Mauritius,Port Louis,1294104
2026-01-15 00:14,Maldives,Malé,395650
2026-01-15 00:14,Malawi,Lilongwe,15447500
2026-01-15 00:14,Mexico,Mexico City,112468855
2026-01-15 00:14,Malaysia,Kuala Lumpur,28274729
2026-01-15 00:14,Mozambique,Maputo,22061451
2026-01-15 00:14,Namibia,Windhoek,2128471
2026-01-15 00:14,New Caledonia,Noumea,216494
2026-01-15 00:14,Niger,Niamey,15878271
2026-01-15 00:14,Norfolk Island,Kingston,1828
2026-01-15 00:14,Nigeria,Abuja,154000000
2026-01-15 00:14,Nicaragua,Managua,5995928
2026-01-15 00:14,Netherlands,Amsterdam,16645000
2026-01-15 00:14,Norway,Oslo,5009150
2026-01-15 00:14,Nepal,Kathmandu,28951852
2026-01-15 00:14,Nauru,Yaren,10065
2026-01-15 00:14,Niue,Alofi,2166
2026-01-15 00:14,New Zealand,Wellington,4252277
2026-01-15 00:14,Oman,Muscat,2967717
2026-01-15 00:14,Panama,Panama City,3410676
2026-01-15 00:14,Peru,Lima,29907003
2026-01-15 00:14,French Polynesia,Papeete,270485
2026-01-15 00:14,Papua New Guinea,Port Moresby,6064515
2026-01-15 00:14,Philippines,Manila,99900177
2026-01-15 00:14,Pakistan,Islamabad,184404791
2026-01-15 00:14,Poland,Warsaw,38500000
2026-01-15 00:14,Saint Pierre and Miquelon,Saint-Pierre,7012
2026-01-15 00:14,Pitcairn Islands,Adamstown,46
2026-01-15 00:14,Puerto Rico,San Juan,3916632
2026-01-15 00:14,Palestine,None,3800000
2026-01-15 00:14,Portugal,Lisbon,10676000
2026-01-15 00:14,Palau,Melekeok,19907
2026-01-15 00:14,Paraguay,Asunción,6375830
2026-01-15 00:14,Qatar,Doha,840926
2026-01-15 00:14,Réunion,Saint-Denis,776948
2026-01-15 00:14,Romania,Bucharest,21959278
2026-01-15 00:14,Serbia,Belgrade,7344847
2026-01-15 00:14,Russia,Moscow,140702000
2026-01-15 00:14,Rwanda,Kigali,11055976
2026-01-15 00:14,Saudi Arabia,Riyadh,25731776
2026-01-15 00:14,Solomon Islands,Honiara,559198
2026-01-15 00:14,Seychelles,Victoria,88340
2026-01-15 00:14,Sudan,Khartoum,35000000
2026-01-15 00:14,Sweden,Stockholm,9828655
2026-01-15 00:14,Singapore,Singapore,4701069
2026-01-15 00:14,Saint Helena,Jamestown,7460
2026-01-15 00:14,Slovenia,Ljubljana,2007000
2026-01-15 00:14,Svalbard and Jan Mayen,Longyearbyen,2550
2026-01-15 00:14,Slovakia,Bratislava,5455000
2026-01-15 00:14,Sierra Leone,Freetown,5245695
2026-01-15 00:14,San Marino,San Marino,31477
2026-01-15 00:14,Senegal,Dakar,12323252
2026-01-15 00:14,Somalia,Mogadishu,10112453
2026-01-15 00:14,Suriname,Paramaribo,492829
2026-01-15 00:14,South Sudan,Juba,8260490
2026-01-15 00:14,São Tomé and Príncipe,São Tomé,175808
2026-01-15 00:14,El Salvador,San Salvador,6052064
2026-01-15 00:14,Sint Maarten,Philipsburg,37429
2026-01-15 00:14,Syria,Damascus,22198110
2026-01-15 00:14,Swaziland,Mbabane,1354051
2026-01-15 00:14,Turks and Caicos Islands,Cockburn Town,20556
2026-01-15 00:14,Chad,N'Djamena,10543464
2026-01-15 00:14,French Southern Territories,Port-aux-Français,140
2026-01-15 00:14,Togo,Lomé,6587239
2026-01-15 00:14,Thailand,Bangkok,67089500
2026-01-15 00:14,Tajikistan,Dushanbe,7487489
2026-01-15 00:14,Tokelau,None,1466
2026-01-15 00:14,East Timor,Dili,1154625
2026-01-15 00:14,Turkmenistan,Ashgabat,4940916
2026-01-15 00:14,Tunisia,Tunis,10589025
2026-01-15 00:14,Tonga,Nuku'alofa,122580
2026-01-15 00:14,Turkey,Ankara,77804122
2026-01-15 00:14,Trinidad and Tobago,Port of Spain,1228691
2026-01-15 00:14,Tuvalu,Funafuti,10472
2026-01-15 00:14,Taiwan,Taipei,22894384
2026-01-15 00:14,Tanzania,Dodoma,41892895
2026-01-15 00:14,Ukraine,Kiev,45415596
2026-01-15 00:14,Uganda,Kampala,33398682
2026-01-15 00:14,U.S. Minor Outlying Islands,None,0
2026-01-15 00:14,United States,Washington,310232863
2026-01-15 00:14,Uruguay,Montevideo,3477000
2026-01-15 00:14,Uzbekistan,Tashkent,27865738
2026-01-15 00:14,Vatican City,Vatican City,921
2026-01-15 00:14,Saint Vincent and the Grenadines,Kingstown,104217
2026-01-15 00:14,Venezuela,Caracas,27223228
2026-01-15 00:14,British Virgin Islands,Road Town,21730
2026-01-15 00:14,U.S. Virgin Islands,Charlotte Amalie,108708
2026-01-15 00:14,Vietnam,Hanoi,89571130
2026-01-15 00:14,Vanuatu,Port Vila,221552
2026-01-15 00:14,Wallis and Futuna,Mata-Utu,16025
2026-01-15 00:14,Samoa,Apia,192001
2026-01-15 00:14,Kosovo,Pristina,1800000
2026-01-15 00:14,Yemen,Sanaa,23495361
2026-01-15 00:14,Mayotte,Mamoudzou,159042
2026-01-15 00:14,South Africa,Pretoria,49000000
2026-01-15 00:14,Zambia,Lusaka,13460305
2026-01-15 00:14,Zimbabwe,Harare,11651858
